latitude,longitude,fmt_time
37.8705228,-122.2659393,17:56:20
37.8696579,-122.2659628,17:57:47
37.8686967,-122.2663615,17:59:03
37.8677596,-122.2659781,18:00:14
37.8681473,-122.2636508,18:02:54
37.8672381,-122.2634622,18:04:00
37.8674299,-122.2612558,18:06:22
37.8666323,-122.261009,18:07:29
37.8669238,-122.2587255,18:10:08
